"Abacate, cru",96,1.2,8.4,0,6,6.3,0.2,0,8.7,8,100
"Abacaxi, cru",48,0.9,0.1,0,12.3,1,0.3,0,34.6,22,100
"Banana, da terra, crua",128,1.4,0.2,0,33.7,1.5,0.3,0,15.7,4,100
"Banana, maçã, crua",87,1.8,0.1,0,22.3,2.6,0.2,0,10.5,3,100
"Banana, nanica, crua",92,1.4,0.1,0,23.8,1.9,0.3,0,5.9,3,100
"Banana, ouro, crua",112,1.5,0.2,0,29.3,2,0.3,0,7.6,3,100
"Banana, prata, crua",98,1.3,0.1,0,26,2,0.4,0,21.6,8,100
"Cajá-Manga, cru",46,1.3,0,0,11.4,2.6,0.2,1,26.7,13,100
"Caju, cru",43,1,0.3,0,10.3,1.7,0.2,3,219.3,1,100
"Caju, polpa, congelada",37,0.5,0.2,0,9.4,0.8,0.1,4,119.7,1,100
"Carambola, crua",46,0.9,0.2,0,11.5,2,0.2,4,60.9,5,100
"Goiaba, branca, com casca, crua",52,0.9,0.5,0,12.4,6.3,0.2,0,99.2,5,100
"Goiaba, vermelha, com casca, crua",54,1.1,0.4,0,13,6.2,0.2,0,80.6,4,100
"Jabuticaba, crua",58,0.6,0.1,0,15.3,2.3,0.1,0,16.2,8,100
"Jaca, crua",88,1.4,0.3,0,22.5,2.4,0.4,2,14.8,11,100
"Kiwi, cru",51,1.3,0.6,0,11.5,2.7,0.3,0,70.8,24,100
"Laranja, baía, crua",45,1,0.1,0,11.5,1.1,0.1,0,56.9,35,100
"Laranja, baía, suco",37,0.7,0.1,0,8.7,0,0.1,0,94.5,6,100
"Laranja, da terra, crua",51,1.1,0.2,0,12.9,4,0.1,1,34.7,51,100
"Laranja, da terra, suco",41,0.7,0.1,0,9.6,1,0.1,0,44.3,13,100
"Laranja, lima, crua",46,1.1,0.1,0,11.5,1.8,0.1,1,43.5,31,100
"Laranja, lima, suco",39,0.7,0.1,0,9.2,0.4,0,0,41.3,8,100
"Laranja, pêra, crua",37,1,0.1,0,8.9,0.8,0.1,0,53.7,22,100
"Laranja, pêra, suco",33,0.7,0.1,0,7.6,0,0,0,73.3,7,100
"Limão, cravo, suco",14,0.3,0,0,5.2,0,0.1,0,32.8,10,100
"Limão, galego, suco",22,0.6,0.1,0,7.3,0,0.1,0,34.5,5,100
"Limão, tahiti, cru",32,0.9,0.1,0,11.1,1.2,0.2,1,38.2,51,100
"Maçã, Argentina, com casca, crua",63,0.2,0.2,0,16.6,2,0.1,1,1.5,3,100
"Maçã, Fuji, com casca, crua",56,0.3,0,0,15.2,1.3,0.1,0,2.4,2,100
"Mamão, Formosa, cru",45,0.8,0.1,0,11.6,1.8,0.2,3,78.5,25,100
"Mamão, Papaia, cru",40,0.5,0.1,0,10.4,1,0.2,2,82.2,22,100
"Mamão verde, doce em calda, drenado",209,0.3,0.1,0,57.6,1.2,0.2,5,0,12,100
"Manga, polpa, congelada",48,0.4,0.2,0,12.5,1.1,0.1,7,24.9,7,100
"Manga, Tommy Atkins, crua",51,0.9,0.2,0,12.8,2.1,0.1,0,7.9,8,100
"Maracujá, cru",68,2,2.1,0,12.3,1.1,0.6,2,19.8,5,100
"Maracujá, polpa, congelada",39,0.8,0.2,0,9.6,0.5,0.3,8,7.3,5,100
"Maracujá, suco concentrado, envasado",42,0.8,0.2,0,9.6,0.4,0.3,22,13.7,4,100
"Melancia, crua",33,0.9,0,0,8.1,0.1,0.2,0,6.1,8,100
"Melão, cru",29,0.7,0,0,7.5,0.3,0.2,11,8.7,3,100
"Mexerica, Murcote, crua",58,0.9,0.1,0,14.9,3.1,0.1,1,21.8,33,100
"Mexerica, Rio, crua",37,0.7,0.1,0,9.3,2.7,0.1,2,112,17,100
"Morango, cru",30,0.9,0.3,0,6.8,1.7,0.3,0,63.6,11,100
"Pequi, cru",205,2.3,18,0,13,19,0.3,0,8.3,32,100
"Pêra, Park, crua",61,0.2,0.2,0,16.1,3,0.3,1,2.4,9,100
"Pêra, Williams, crua",53,0.6,0.1,0,14,3,0.1,0,2.8,8,100
"Pêssego, Aurora, cru",36,0.8,0,0,9.3,1.4,0.2,0,3.3,3,100
"Pêssego, enlatado, em calda",63,0.7,0,0,16.9,1,0.6,3,0,4,100
"Tangerina, Poncã, suco",36,0.5,0,0,8.8,0,0,0,41.8,4,100
"Tucumã, cru",262,2.1,19.1,0,26.5,12.7,0.6,4,18,46,100
"Uva, Itália, crua",53,0.7,0.2,0,13.6,0.9,0.1,0,3.3,7,100
"Uva, Rubi, crua",49,0.6,0.2,0,12.7,0.9,0.2,8,1.9,8,100
